##
LRD,利比里亚元,利比里亚
LTL,立特,立陶宛
LVL,拉特,拉脱维亚
LYD,利比亚第纳尔,利比亚
MAD,迪拉姆,摩洛哥
MGA,阿里亚里,马达加斯加
MKD,马其顿第纳尔,马其顿
MMK,缅元,缅甸
MNT,图格里克,蒙古
MOP,澳门币,澳门
MRO,乌吉亚,毛里塔尼亚
MUR,毛里求斯卢比,毛里求斯
MVR,拉菲亚,马尔代夫
MXN,墨西哥比索,墨西哥
MYR,林吉特,马来西亚
NAD,纳米比亚元,纳米比亚
NGN,尼日利亚第纳尔,尼日利亚
NIO,科多巴,尼加拉瓜
NOK,挪威克朗,挪威
NPR,尼泊尔卢比,尼泊尔
NZD,新西兰元,新西兰
OMR,阿曼里亚尔,阿曼
PAB,巴波亚,巴拿马
PEN,新索尔,秘鲁
PGK,基那基那,新几内亚
PHP,菲律宾比索,菲律宾
PKR,巴基斯坦卢比,巴基斯坦
PLN,兹罗提,波兰
PYG,瓜拉尼,巴拉圭
QAR,卡塔尔里亚尔,卡塔尔
RON,列伊,罗马尼亚
RSD,塞尔维亚第纳尔,塞尔维亚
RUB,俄罗斯卢布,俄罗斯
RWF,卢旺达法郎,卢旺达
SAR,沙特阿拉伯里亚尔,沙特阿拉伯
SBD,所罗门群岛元,所罗门群岛
SCR,塞舌尔卢比,塞舌尔
SDG,苏丹镑,苏丹
SEK,瑞典克朗,瑞典
SGD,新加坡元,新加坡
SHP,圣赫勒拿镑,圣赫勒拿
SLL,利昂,塞拉利昂
SOS,索马里先令,索马里
SRD,苏里南元,苏里南
SVC,科朗,萨尔瓦多
SYP,叙利亚镑,叙利亚
THB,泰铢,泰国
TJS,索莫尼,塔吉克斯坦
TMT,马纳特,土库曼斯坦
TND,突尼斯第纳尔,突尼斯
TRY,里拉,土耳其
TTD,特立尼达和多巴哥元,特立尼达和多巴哥
TWD,台币,台湾
TZS,坦桑尼亚先令,坦桑尼亚
UAH,格里夫纳,乌克兰
UGX,乌干达先令,乌干达
USD,美元,美国
UYU,乌拉圭比索,乌拉圭
UZS,索姆,乌兹别克斯坦
VEF,玻利瓦尔,委内瑞拉
VND,越南盾,越南
VUV,瓦图,瓦努阿图
WST,塔拉,萨摩亚
XAF,中非法郎,中非
XCD,东加勒比元,东加勒比
XOF,西非法郎,西非
XPF,太平洋法郎,太平洋
YER,也门里亚尔,也门
ZAR,兰特,南非
ZMW,克瓦查,赞比亚
ZWL,津巴布韦元,津巴布韦


## ExResult.GetAllCurrencyInfo 【自动分析】 【判断不出来国家名，需要手工修正】
BAM,波斯尼亚和黑塞哥维那可,波斯尼亚和黑塞哥维那可
BWP,博茨瓦纳普拉,博茨瓦纳普拉
CVE,佛得角埃斯库多,佛得角埃斯库多
GMD,冈比亚达拉西,冈比亚达拉西
LSL,莱索托洛提,莱索托洛提
MDL,摩尔多瓦列伊,摩尔多瓦列伊
MWK,马拉维克瓦查,马拉维克瓦查
MZN,莫桑比克梅蒂卡尔,莫桑比克梅蒂卡尔
STD,圣多美多布拉,圣多美多布拉
SZL,斯威士兰里兰吉尼,斯威士兰里兰吉尼
XDR,特别提款权（国际货币基金）,特别提款权（国际货币基金）
